EUD01_01,EUD01_02,EUD01_03,EUD01_04,EUD01_05,EUD01_06,EUD01_07,EUD01_08,EUD01_09,EUD01_96,EUD01_97,EUD01_99,id,Generation,HH02,HH03,HH04,IN02,IN05,SI03_3_H,PB01_mod,S01_mod,SI06_mod,HLS02_mod,DHO01_mod,DEGURBA_mod,DHE01_mod,DHE02_mod,DHE03_mod,DHE04_mod,RA04_mod,VV10,res_stat_mod_1,arop_mod,RA03,VH01a,DO27_mod
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,1.0,37.0,1.0,1.0,8.0,117.0,15.0,0.0,1,0,0,1,3.0,5.0,0,3.0,1,0,1.0,0,,10.0,3.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,317.0,1.0,30.0,1.0,1.0,8.0,93.0,19.0,2.0,1,1,0,1,3.0,5.0,0,3.0,1,1,1.0,0,,4.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,321.0,1.0,35.0,1.0,1.0,8.0,60.0,17.0,0.0,1,1,0,1,3.0,5.0,0,3.0,1,1,0.0,0,,8.0,1.0,1
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,1.0,42.0,1.0,4.0,8.0,154.0,14.0,2.0,1,0,0,0,3.0,1.0,1,1.0,1,1,2.0,0,,11.0,14.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,327.0,1.0,39.0,1.0,5.0,8.0,154.0,10.0,1.0,0,0,0,1,3.0,4.0,0,3.0,1,0,0.0,0,,7.0,1.0,1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,2.0,26.0,2.0,1.0,8.0,1.0,22.0,1.0,0,1,0,1,3.0,4.0,0,3.0,1,0,1.0,1,,9.0,6.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,330.0,2.0,18.0,1.0,1.0,8.0,1.0,19.0,1.0,0,1,0,0,3.0,5.0,0,3.0,1,1,0.0,1,,10.0,6.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,1.0,28.0,1.0,1.0,8.0,154.0,18.0,1.0,1,1,0,0,3.0,5.0,0,3.0,1,0,0.0,0,,8.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,335.0,1.0,21.0,1.0,5.0,8.0,154.0,15.0,1.0,0,1,0,0,3.0,5.0,0,3.0,1,0,0.0,0,,9.0,0.0,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,1.0,28.0,1.0,5.0,8.0,214.0,16.0,0.0,1,1,0,1,3.0,5.0,0,3.0,1,1,2.0,0,,10.0,12.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,340.0,2.0,16.0,2.0,5.0,8.0,1.0,19.0,0.0,0,1,1,0,3.0,5.0,0,3.0,1,0,0.0,1,,8.0,10.0,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,2.0,31.0,2.0,1.0,8.0,1.0,15.0,0.0,0,1,0,0,3.0,4.0,0,3.0,1,1,1.0,1,,8.0,10.0,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,2.0,23.0,2.0,5.0,8.0,1.0,12.0,0.0,0,1,0,1,3.0,5.0,0,3.0,1,0,1.0,1,,8.0,5.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,347.0,1.0,30.0,1.0,4.0,8.0,154.0,11.0,1.0,0,0,0,0,3.0,4.0,0,3.0,0,0,1.0,0,,9.0,0.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,1.0,38.0,1.0,4.0,8.0,154.0,12.0,1.0,0,0,0,0,3.0,5.0,0,3.0,1,0,0.0,0,,12.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,355.0,1.0,25.0,1.0,5.0,8.0,187.0,12.0,2.0,0,0,0,1,3.0,5.0,0,3.0,1,0,0.0,0,,5.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,357.0,1.0,42.0,2.0,1.0,8.0,154.0,17.0,1.0,1,1,0,1,3.0,5.0,0,3.0,1,1,0.0,0,,6.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,363.0,1.0,48.0,1.0,1.0,8.0,117.0,19.0,2.0,1,1,0,1,3.0,5.0,0,3.0,1,1,0.0,0,,9.0,2.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,366.0,1.0,44.0,1.0,1.0,8.0,131.0,14.0,2.0,0,0,0,1,3.0,5.0,0,3.0,1,0,0.0,0,,6.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,1.0,35.0,1.0,10.0,8.0,154.0,11.0,1.0,0,0,0,1,3.0,5.0,0,3.0,1,0,0.0,0,,6.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,2.0,26.0,1.0,5.0,8.0,1.0,18.0,1.0,0,0,0,1,3.0,5.0,0,3.0,1,1,2.0,1,,9.0,17.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,1.0,33.0,1.0,1.0,8.0,189.0,12.0,2.0,0,0,0,1,3.0,3.0,0,3.0,0,1,2.0,0,,7.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,378.0,2.0,29.0,1.0,1.0,8.0,1.0,14.0,1.0,0,1,0,1,3.0,4.0,0,3.0,1,1,0.0,1,,4.0,5.0,1
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,1.0,35.0,1.0,1.0,8.0,187.0,15.0,1.0,1,1,0,1,3.0,4.0,0,3.0,1,0,1.0,1,,8.0,2.0,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,2.0,38.0,1.0,4.0,8.0,1.0,12.0,2.0,0,0,0,1,3.0,3.0,0,3.0,1,1,2.0,1,,6.0,3.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,1.0,28.0,1.0,1.0,8.0,225.0,16.0,1.0,0,0,0,1,3.0,5.0,0,3.0,1,1,0.0,0,,6.0,0.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,1.0,37.0,1.0,1.0,8.0,189.0,16.0,2.0,0,0,0,0,3.0,4.0,0,3.0,1,1,1.0,0,,7.0,13.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,408.0,1.0,40.0,1.0,4.0,8.0,71.0,16.0,1.0,0,0,0,1,3.0,4.0,0,3.0,1,1,2.0,0,,9.0,2.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,420.0,1.0,34.0,1.0,1.0,8.0,71.0,19.0,1.0,1,1,0,0,3.0,4.0,0,3.0,1,1,0.0,0,,6.0,1.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,1.0,33.0,1.0,1.0,8.0,71.0,18.0,1.0,0,1,0,1,3.0,5.0,0,3.0,1,1,1.0,0,,4.0,0.0,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,1.0,50.0,1.0,4.0,8.0,71.0,17.0,1.0,0,1,0,0,3.0,3.0,1,2.0,1,0,2.0,1,,6.0,7.0,1
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,1.0,30.0,1.0,9.0,8.0,131.0,18.0,2.0,1,1,1,0,3.0,2.0,1,3.0,1,1,1.0,0,,11.0,1.0,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,1.0,44.0,1.0,4.0,8.0,169.0,12.0,1.0,1,0,0,1,3.0,4.0,0,3.0,0,1,1.0,1,,8.0,6.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,1.0,24.0,2.0,5.0,8.0,154.0,12.0,1.0,0,0,0,1,3.0,5.0,0,3.0,1,0,1.0,0,,9.0,13.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,451.0,1.0,21.0,2.0,5.0,8.0,47.0,16.0,1.0,0,1,1,1,3.0,5.0,0,3.0,1,0,1.0,0,,10.0,9.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,456.0,1.0,30.0,2.0,1.0,8.0,117.0,17.0,1.0,0,1,0,1,3.0,4.0,0,3.0,1,1,1.0,0,,9.0,11.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,457.0,1.0,37.0,2.0,1.0,8.0,117.0,21.0,1.0,1,1,1,1,3.0,5.0,0,3.0,1,1,1.0,1,,8.0,8.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,461.0,1.0,28.0,2.0,5.0,8.0,154.0,13.0,1.0,1,0,0,0,3.0,4.0,0,3.0,1,0,0.0,0,,2.0,1.0,0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,1.0,56.0,2.0,1.0,8.0,117.0,20.0,1.0,0,1,0,0,3.0,4.0,0,3.0,1,1,1.0,1,,11.0,9.0,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,1.0,50.0,2.0,1.0,8.0,154.0,17.0,1.0,1,0,0,0,3.0,3.0,0,3.0,1,0,0.0,1,,5.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,1.0,30.0,1.0,1.0,8.0,154.0,10.0,2.0,0,0,0,1,3.0,5.0,0,3.0,1,0,1.0,0,,6.0,0.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,1.0,43.0,1.0,4.0,8.0,154.0,5.0,1.0,0,0,0,0,3.0,5.0,0,3.0,0,0,0.0,0,,9.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,1.0,43.0,1.0,1.0,8.0,154.0,12.0,1.0,0,1,0,1,3.0,4.0,0,3.0,1,1,1.0,0,,8.0,19.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,1.0,33.0,1.0,1.0,8.0,154.0,13.0,1.0,1,0,1,1,3.0,5.0,0,3.0,1,1,2.0,0,,7.0,13.0,1
